timestamp,can_id,signal,value,label
1769454973.5262334,0x100,speed,0.0,normal
1769454973.5262334,0x101,steering,0.0,normal
1769454973.5262334,0x102,throttle,0.0,normal
1769454973.5262334,0x103,brake,0.0,normal
1769454973.6504161,0x100,speed,1.763,normal
1769454973.6504161,0x101,steering,0.0,normal
1769454973.6504161,0x102,throttle,0.0,normal
1769454973.6504161,0x103,brake,0.0,normal
1769454973.9826012,0x100,speed,3.526,normal
1769454973.9826012,0x101,steering,0.0,normal
1769454973.9826012,0x102,throttle,0.0,normal
1769454973.9826012,0x103,brake,0.0,normal
1769454974.0703628,0x100,speed,5.288,normal
1769454974.0703628,0x101,steering,0.0,normal
1769454974.0703628,0x102,throttle,0.0,normal
1769454974.0703628,0x103,brake,0.0,normal
1769454974.1804893,0x100,speed,7.048,normal
1769454974.1804893,0x101,steering,0.0,normal
1769454974.1804893,0x102,throttle,0.0,normal
1769454974.1804893,0x103,brake,0.0,normal
1769454974.2542942,0x100,speed,8.808,normal
1769454974.2542942,0x101,steering,0.0,normal
1769454974.2542942,0x102,throttle,0.0,normal
1769454974.2542942,0x103,brake,0.0,normal
1769454974.422845,0x100,speed,10.567,normal
1769454974.422845,0x101,steering,0.0,normal
1769454974.422845,0x102,throttle,0.0,normal
1769454974.422845,0x103,brake,0.0,normal
1769454974.4806864,0x100,speed,12.325,normal
1769454974.4806864,0x101,steering,0.0,normal
1769454974.4806864,0x102,throttle,0.0,normal
1769454974.4806864,0x103,brake,0.0,normal
1769454974.548529,0x100,speed,14.083,normal
1769454974.548529,0x101,steering,0.0,normal
1769454974.548529,0x102,throttle,0.0,normal
1769454974.548529,0x103,brake,0.0,normal
1769454974.6462517,0x100,speed,15.839,normal
1769454974.6462517,0x101,steering,0.0,normal
1769454974.6462517,0x102,throttle,0.0,normal
1769454974.6462517,0x103,brake,0.0,normal
1769454974.713067,0x100,speed,17.595,normal
1769454974.713067,0x101,steering,0.0,normal
1769454974.713067,0x102,throttle,0.0,normal
1769454974.713067,0x103,brake,0.0,normal
1769454974.83574,0x100,speed,19.349,normal
1769454974.83574,0x101,steering,0.0,normal
1769454974.83574,0x102,throttle,0.0,normal
1769454974.83574,0x103,brake,0.0,normal
1769454974.9115398,0x100,speed,19.12,normal
1769454974.9115398,0x101,steering,0.0,normal
1769454974.9115398,0x102,throttle,0.0,normal
1769454974.9115398,0x103,brake,0.0,normal
1769454974.9773593,0x100,speed,7.045,normal
1769454974.9773593,0x101,steering,0.0,normal
1769454974.9773593,0x102,throttle,0.0,normal
1769454974.9773593,0x103,brake,0.0,normal
1769454975.0621357,0x100,speed,0.468,normal
1769454975.0621357,0x101,steering,0.0,normal
1769454975.0621357,0x102,throttle,0.0,normal
1769454975.0621357,0x103,brake,0.0,normal
1769454975.2165713,0x100,speed,0.773,normal
1769454975.2165713,0x101,steering,0.0,normal
1769454975.2165713,0x102,throttle,0.0,normal
1769454975.2165713,0x103,brake,0.0,normal
1769454975.4002872,0x100,speed,0.87,normal
1769454975.4002872,0x101,steering,0.0,normal
1769454975.4002872,0x102,throttle,0.0,normal
1769454975.4002872,0x103,brake,0.0,normal
1769454975.5138125,0x100,speed,0.849,normal
1769454975.5138125,0x101,steering,0.0,normal
1769454975.5138125,0x102,throttle,0.0,normal
1769454975.5138125,0x103,brake,0.0,normal
1769454975.6097507,0x100,speed,0.769,normal
1769454975.6097507,0x101,steering,0.0,normal
1769454975.6097507,0x102,throttle,0.0,normal
1769454975.6097507,0x103,brake,0.0,normal
1769454975.6716492,0x100,speed,0.666,normal
1769454975.6716492,0x101,steering,0.0,normal
1769454975.6716492,0x102,throttle,0.0,normal
1769454975.6716492,0x103,brake,0.0,normal
1769454975.7454464,0x100,speed,0.56,normal
1769454975.7454464,0x101,steering,0.0,normal
1769454975.7454464,0x102,throttle,0.0,normal
1769454975.7454464,0x103,brake,0.0,normal
1769454975.840215,0x100,speed,0.461,normal
