Event,True,Attack,STRIDE,Context,Score,DREAD_Level,Frequency,Final Risk,Risk_Level
1,DOS_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,15,HIGH,1,10.8,MEDIUM
2,DOS_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,18,HIGH,2,13.2,HIGH
3,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,19,HIGH,1,13.6,HIGH
4,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,20,HIGH,2,14.6,HIGH
5,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,17,HIGH,1,12.2,MEDIUM
6,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,15,HIGH,3,11.4,MEDIUM
7,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,19,HIGH,4,14.5,HIGH
8,SIGNAL_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,17,HIGH,2,12.5,MEDIUM
9,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,15,HIGH,3,11.4,MEDIUM
10,SIGNAL_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,18,HIGH,5,14.1,HIGH
11,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,18,HIGH,6,14.4,HIGH
12,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,19,HIGH,4,14.5,HIGH
13,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,21,HIGH,3,15.6,HIGH
14,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,14,HIGH,7,11.9,MEDIUM
15,MOTION_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,21,HIGH,4,15.9,HIGH
16,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,16,HIGH,8,13.6,HIGH
17,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,23,HIGH,5,17.6,HIGH
18,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,14,HIGH,9,12.5,MEDIUM
19,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,17,HIGH,6,13.7,HIGH
20,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,17,HIGH,10,14.9,HIGH
21,DOS_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,18,HIGH,11,15.9,HIGH
22,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,18,HIGH,12,16.2,HIGH
23,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,17,HIGH,7,14.0,HIGH
24,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,18,HIGH,13,16.5,HIGH
25,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,15,HIGH,8,12.9,MEDIUM
26,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,17,HIGH,5,13.4,HIGH
27,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,19,HIGH,9,16.0,HIGH
28,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,20,HIGH,6,15.8,HIGH
29,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,16,HIGH,7,13.3,HIGH
30,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,18,HIGH,10,15.6,HIGH
31,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,14,HIGH,11,13.1,HIGH
32,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,20,HIGH,12,17.6,HIGH
33,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,20,HIGH,13,17.9,HIGH
34,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,17,HIGH,14,16.1,HIGH
35,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,15,HIGH,15,15.0,HIGH
36,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,14,HIGH,16,14.6,HIGH
37,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,14,HIGH,17,14.9,HIGH
38,MOTION_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,13,HIGH,18,14.5,HIGH
